"nid","parent_nid","name","serial","type","latitude","longitude","status"
"821","15","Kabupaten Banyuwangi","1501","2","-8.2118384","114.3496854","1"
"823","15","Kabupaten Madiun","1502","2","-7.627753","111.505483","1"
"824","15","Kabupaten Ponorogo","1503","2","-7.867827","111.466003","1"
"825","15","Kabupaten Magetan","1504","2","-7.6493413","111.3381593","1"
"826","15","Kabupaten Pacitan","1505","2","-8.101534","110.9978374","1"
"827","15","Kabupaten Ngawi","1506","2","-7.4321201","111.2300155","1"
"828","15","Kabupaten Bangkalan","1507","2","-7.0458574","112.7450814","1"
"829","15","Kabupaten Kediri","1508","2","-7.801191","111.9448055","1"
"830","15","Kabupaten Bondowoso","1509","2","-7.9449125","113.7712135","1"
"831","15","Kabupaten Blitar","1510","2","-8.1312329","112.0524531","1"
"832","15","Kabupaten Trenggalek","1511","2","-8.05","111.7166667","1"
"833","15","Kabupaten Tulungagung","1512","2","-8.0666667","111.9","1"
"834","15","Kabupaten Nganjuk","1513","2","-7.602932","111.901808","1"
"835","15","Kabupaten Situbondo","1514","2","-7.702534","113.955605","1"
"836","15","Kabupaten Malang","1515","2","-8.0495643","112.6884549","1"
"837","15","Kabupaten Jember","1516","2","-8.172357","113.700302","1"
"838","15","Kabupaten Sumenep","1517","2","-6.9253999","113.9060624","1"
"839","15","Kabupaten Pasuruan","1518","2","-6.8623098","108.8001936","1"
"840","15","Kabupaten Pamekasan","1519","2","-7.1666667","113.4666667","1"
"841","15","Kabupaten Probolinggo","1520","2","-7.8511393","112.9559935","1"
"842","15","Kabupaten Lumajang","1521","2","-8.137022","113.226601","1"
"843","15","Kabupaten Bojonegoro","1522","2","-7.2270372","111.4650202","1"
"844","15","Kabupaten Tuban","1523","2","-6.8934091","112.0222673","1"
"845","15","Kabupaten Lamongan","1524","2","-7.1222388","111.9828087","1"
"846","15","Kabupaten Sidoarjo","1525","2","-7.4545375","112.5005219","1"
"847","15","Kabupaten Sampang","1526","2","-7.1003661","113.0970493","1"
"848","15","Kabupaten Mojokerto","1527","2","-7.5403158","112.1719948","1"
"849","15","Kabupaten Gresik","1528","2","-6.5594417","111.9120193","1"
"850","15","Kabupaten Jombang","1529","2","-7.5611077","112.094418","1"
"851","15","Kota Mojokerto","1530","2","-7.4722222","112.4336111","1"
"852","15","Kota Surabaya","1531","2","-7.289166","112.734398","1"
"853","15","Kota Madiun","1532","2","-7.629714","111.513702","1"
"854","15","Kota Blitar","1533","2","-8.1","112.15","1"
"855","15","Kota Malang","1534","2","-7.981894","112.626503","1"
"856","15","Kota Batu","1535","2","-7.8671","112.5239","1"
"857","15","Kota Pasuruan","1536","2","-7.644872","112.903297","1"
"858","15","Kota Kediri","1537","2","-7.816895","112.011398","1"
"859","15","Kota Probolinggo","1538","2","-7.756928","113.211502","1"


